ID,Lat,Long,_Prod_IDWmean,_Prod_Krigmean
"1813",7623574.708,523723.769,12.3395246468965,12.5990891716012
"1814",7623574.708,523733.743,12.416379032806,12.8453116184245
"1815",7623574.708,523743.717,12.4281587471602,12.8567310351066
"1816",7623574.708,523753.692,13.007550239563,12.6543781407036
"1817",7623574.708,523763.666,12.2485418319702,12.3591770270688
"1818",7623574.708,523773.640,11.9936971664429,12.0865108194031
"1819",7623574.708,523783.615,12.1343517303467,11.8789324789291
"1820",7623574.708,523793.589,12.0347647774309,11.7480352256594
"1821",7623574.708,523803.563,11.7459392547607,11.8185291525103
"1822",7623574.708,523813.537,11.98655128479,11.9837038256266
"1823",7623574.708,523823.512,12.2410502356902,12.1220840998354
"1824",7623574.708,523833.486,12.3364896774292,12.2498503177241
"1825",7623574.708,523843.460,12.2596397399902,12.3526459737741
"1826",7623574.708,523853.434,12.4349485935909,12.4577954140066
"1827",7623574.708,523863.409,11.9802929900657,12.5469831820221
"1828",7623574.708,523873.383,12.5045652389526,12.6089000025339
"1829",7623574.708,523883.357,12.4157953373809,12.5379794151246
"1830",7623574.708,523893.331,12.2240576998565,12.4053114038169
"1831",7623574.708,523903.306,12.3262376785278,12.3405325518194
"1832",7623574.708,523913.280,12.2389869689941,12.2762456305836
"1833",7623574.708,523923.254,12.4082337049965,12.2533188419486
"1834",7623574.708,523933.228,12.2269248962402,12.2304055506986
"1835",7623574.708,523943.203,12.2316422023009,12.2024891393583
"1836",7623574.708,523953.177,12.1256990432739,12.1796167783534
"1837",7623574.708,523963.151,12.6538352966309,12.214584274163
"1838",7623574.708,523973.126,12.3278499651717,12.2711064207969
"1839",7623574.708,523983.100,12.2512329068662,12.2978638679276
"1840",7623574.708,523993.074,12.2117624282837,12.3269511267047
"1841",7623574.708,524003.048,12.310923576355,12.3600145036815
"1842",7623574.708,524013.023,12.2577939288228,12.3440728537212
"1843",7623574.708,524022.997,11.9719667434692,12.2333961458689
"1844",7623574.708,524032.971,12.0610056033207,12.0601222999453
"1845",7623574.708,524042.945,11.869232274428,11.9466213964862
"1846",7623574.708,524052.920,11.8889030760899,11.8640845956191
"1847",7623574.708,524062.894,11.9726972579956,11.8242622534897
"1848",7623574.708,524072.868,11.811218060336,11.7761509072726
"1849",7623574.708,524082.842,11.9642572402954,11.6557408161757
"1850",7623574.708,524092.817,11.3331678888315,11.5612036703376
"1851",7623574.708,524102.791,11.1104894562428,11.595158922847
"1852",7623574.708,524112.765,11.6133728342561,11.761471585938
"1853",7623574.708,524122.740,12.5898151397705,12.0953971104279
"1854",7623574.708,524132.714,12.8301129792099,12.3595885863777
"1855",7623574.708,524142.688,12.1602621034096,12.1127352631585
"1856",7623574.708,524152.662,11.7713470458984,11.7059102230388
"1857",7623574.708,524162.637,11.7034114633374,11.5155847730028
"1858",7623574.708,524172.611,11.7768583297729,11.5039320037257
"1859",7623574.708,524182.585,11.4929914474487,11.650538441725
"1860",7623574.708,524192.559,11.5376882553101,11.8707254342199
"1861",7623574.708,524202.534,11.9941335352945,12.1034470788856
"1862",7623574.708,524212.508,12.1039228439331,12.3081961485928
"1863",7623574.708,524222.482,12.299451272328,12.4088015063911
"1864",7623574.708,524232.456,12.1864097412636,12.4568538593108
"1865",7623574.708,524242.431,12.1438950594942,12.5269826976684
"1866",7623574.708,524252.405,12.3196458816528,12.5985700229817
"1867",7623574.708,524262.379,12.2450282766556,12.5573282863022
"1868",7623574.708,524272.353,12.7824697494507,12.464473105295
"1869",7623574.708,524282.328,12.0062427520752,12.279730264816
