ID,Lat,Long,_Declivmean,_IPTmean,_IRTmean,_Rugosmean,_Sombrmean
"102",7671095.005,407918.779,752415.908400876,0.0861010639702194,5.61986417233083,5.4376006547509,43.9400163687726
"103",7671095.005,407928.742,763327.737150018,-0.178011227129921,5.49961206502401,5.85069435277345,34.3562650157087
"104",7671095.005,407938.706,767845.717186551,-0.275629009689257,5.45545111087237,6,30.7562900968926
"105",7671095.005,407948.669,768545.487372862,-0.272841877380222,5.4574876777983,6,30.7284187738022
"106",7671095.005,407958.632,641502.676735518,-0.326463920111411,4.78135695560278,5.16512992455993,60.7102784616298
"107",7671085.065,407779.292,629461.525043067,1,5.17837072354913,4.20980931825832,58.6839197671426
"108",7671085.065,407789.255,639570.1875,1,5.47722578048706,5,1
"109",7671085.065,407799.219,639570.1875,1,5.47722578048706,5,1
"110",7671085.065,407809.182,603636.060685751,0.686942689873209,4.93389344164722,4.68694268987321,1
"111",7671085.065,407819.145,524785.6875,0,3.74165749549866,4,1
"112",7671085.065,407829.109,524785.6875,0,3.74165749549866,4,1
"113",7671085.065,407839.072,484038.197140168,-0.104077012434987,3.62610872236801,4,34.3046439791958
"114",7671085.065,407849.035,426907.46875,-0.25,3.46410155296326,4,81
"115",7671085.065,407858.999,426907.46875,-0.25,3.46410155296326,4,81
"116",7671085.065,407868.962,535750.755494311,0.00978324719983631,3.9878424875787,4.51956649439967,95.5478618431908
"117",7671085.065,407878.925,636396.125,0.25,4.4721360206604,5,109
"118",7671085.065,407888.889,636396.125,0.25,4.4721360206604,5,109
"119",7671085.065,407898.852,741397.486277771,0.717120114054889,5.52613208672631,5.62282681873985,77.2358322442676
"120",7671085.065,407908.816,804984.5,1,6.16441392898559,6,58
"121",7671085.065,407918.779,804984.5,1,6.16441392898559,6,58
"122",7671085.065,407928.742,828265.183858667,0.273927937323028,5.79588895527113,6,36.2178381196908
"123",7671085.065,407938.706,837048.375,0,5.65685415267944,6,28
"124",7671085.065,407948.669,837048.375,0,5.65685415267944,6,28
"125",7671085.065,407958.632,643557.329517553,0,4.67433154341976,5.17066972919101,52.8799081242698
"126",7671085.065,407968.596,603738.375,0,4.4721360206604,5,58
"127",7671075.124,407779.292,629390.296253638,1,5.17626489757948,4.20424138818668,59.090378662372
"128",7671075.124,407789.255,639570.1875,1,5.47722578048706,5,1
"129",7671075.124,407799.219,639570.1875,1,5.47722578048706,5,1
"130",7671075.124,407809.182,604274.025724229,0.692500627037873,4.94353962112017,4.69250062703787,1
"131",7671075.124,407819.145,524785.6875,0,3.74165749549866,4,1
"132",7671075.124,407829.109,524785.6875,0,3.74165749549866,4,1
"133",7671075.124,407839.072,484580.478938751,-0.102691919291923,3.6276464856993,4,33.8614141734154
"134",7671075.124,407849.035,426907.46875,-0.25,3.46410155296326,4,81
"135",7671075.124,407858.999,426907.46875,-0.25,3.46410155296326,4,81
"136",7671075.124,407868.962,534588.631272359,0.00700953084985612,3.98225048420991,4.51401906169971,95.392533727592
"137",7671075.124,407878.925,636396.125,0.25,4.4721360206604,5,109
"138",7671075.124,407888.889,636396.125,0.25,4.4721360206604,5,109
"139",7671075.124,407898.852,740461.40212563,0.712955751511471,5.516735741747,5.61727433534863,77.51900889722
"140",7671075.124,407908.816,804984.5,1,6.1644139289856,6,58
"141",7671075.124,407918.779,804984.5,1,6.1644139289856,6,58
"142",7671075.124,407928.742,828087.623804511,0.279465635251177,5.79869966799279,6,36.3839690575353
